Team,ALYards,Rank,RBYards,Pwr Success,Stuffed,2nd Level,Open Field,Sacks,Adj Sack %,Off/Def,Year
ARI,4.19,19,4.76,77,23,1.52,0.98,42,7.4,O,2023
ATL,4.00,23,4.07,55,19,1.20,0.55,40,8.0,O,2023
BAL,4.43,25,4.66,79,15,1.15,1.05,41,8.2,O,2023
BUF,4.74,1,4.43,75,13,1.28,0.59,24,4.5,O,2023
CAR,3.68,30,3.64,62,20,1.02,0.45,65,10.5,O,2023
CHI,4.27,26,4.23,68,16,1.22,0.56,50,9.2,O,2023
CIN,4.06,21,4.07,59,17,1.15,0.57,50,7.7,O,2023
CLE,3.76,14,3.92,68,23,1.07,0.68,45,7.0,O,2023
DAL,4.23,12,3.85,76,18,1.09,0.46,40,6.8,O,2023
DEN,4.21,27,4.03,70,19,1.21,0.56,52,9.3,O,2023
DET,4.77,4,4.79,65,15,1.32,0.94,31,5.6,O,2023
GB,4.37,5,4.07,62,15,1.04,0.48,30,5.7,O,2023
HOU,4.09,22,3.63,48,20,1.00,0.41,47,7.8,O,2023
IND,4.10,16,4.34,54,19,1.15,0.82,41,7.1,O,2023
JAC,3.50,7,3.49,61,25,0.91,0.51,41,6.3,O,2023
KC,4.10,2,4.06,70,18,1.03,0.65,28,4.7,O,2023
LAC,3.58,8,3.45,55,18,0.76,0.49,43,6.4,O,2023
LA,4.55,6,4.23,73,16,1.25,0.51,34,6.3,O,2023
LV,4.19,11,3.87,60,18,0.96,0.56,40,6.8,O,2023
MIA,4.67,3,5.48,58,17,1.54,1.52,31,5.3,O,2023
MIN,4.24,24,4.05,65,19,1.31,0.48,47,8.1,O,2023
NE,4.09,20,3.72,68,20,1.06,0.31,48,7.5,O,2023
NO,4.39,9,3.54,71,19,0.97,0.23,35,6.6,O,2023
NYG,3.35,32,3.58,67,23,0.97,0.61,85,14.4,O,2023
NYJ,3.64,28,4.10,67,23,1.06,0.96,64,9.8,O,2023
PHI,4.21,13,4.45,82,14,1.23,0.74,39,6.9,O,2023
PIT,4.29,10,4.50,63,18,1.33,0.83,36,6.7,O,2023
SEA,3.99,15,4.14,63,20,1.20,0.74,38,7.0,O,2023
SF,4.76,18,4.96,73,15,1.43,1.09,34,7.3,O,2023
TB,3.73,17,3.42,72,15,0.88,0.34,40,7.2,O,2023
TEN,4.16,31,4.26,80,16,1.16,0.80,64,11.4,O,2023
WAS,4.33,29,4.26,58,16,1.28,0.54,65,10.3,O,2023