"Team","ALYards","Rank","RBYards","Rank","Pwr Suc","Rank","Stuffed","Rank","2nd Level","Rank","Open Field","Rank","Sacks","Rank","Adj Sack %","Off/Def","Week","Year"
"DAL","5.65","32","5.44","31","80","24","10","31","1.69","31","0.85","21","7","15","8.7","D","3","2024"
"SF","5.07","31","4.42","18","83","27","11","30","1.15","11","0.44","11","8","6","11.6","D","3","2024"
"CAR","4.87","29","4.62","22","71","17","14","28","1.21","15","0.77","20","5","24","5.9","D","3","2024"
"NYJ","4.87","30","4.63","23","100","29","10","32","1.40","25","0.54","13","14","3","14.5","D","3","2024"
"LAR","4.86","28","4.71","24","75","20","14","26","1.29","20","0.87","22","4","26","5.5","D","3","2024"
"PHI","4.79","27","5.23","29","33","1","23","3","1.58","29","1.14","28","4","29","4.5","D","3","2024"
"CIN","4.62","26","4.12","15","57","10","17","18","1.24","17","0.43","10","5","23","6.8","D","3","2024"
"MIA","4.58","25","4.92","25","50","5","20","9","1.50","28","1.09","24","6","16","8.7","D","3","2024"
"ATL","4.56","23","3.95","10","71","17","14","27","1.22","16","0.15","5","3","31","3.7","D","3","2024"
"IND","4.56","24","4.05","14","60","12","15","24","1.18","14","0.40","8","8","19","7.7","D","3","2024"
"LV","4.50","21","5.53","32","100","29","17","18","1.35","24","1.75","32","5","27","4.9","D","3","2024"
"WAS","4.50","22","5.17","28","100","29","20","7","1.83","32","1.13","26","4","30","4.4","D","3","2024"
"NE","4.47","20","3.71","7","80","24","14","25","1.16","13","0.14","4","8","21","7.1","D","3","2024"
"DEN","4.42","19","4.44","19","67","14","19","10","1.32","22","0.67","16","11","4","12.3","D","3","2024"
"NYG","4.39","18","5.35","30","78","23","17","18","1.62","30","1.43","31","14","2","14.6","D","3","2024"
"ARI","4.29","17","4.00","11","55","9","23","2","1.40","26","0.42","9","9","7","11.2","D","3","2024"
"TB","4.23","16","4.53","20","69","15","21","6","1.10","7","1.14","27","2","32","2.0","D","3","2024"
"CHI","4.16","14","4.59","21","80","24","17","17","1.30","21","1.10","25","7","22","7.1","D","3","2024"
"LAC","4.16","15","4.25","16","50","5","18","16","1.28","19","0.57","14","8","18","8.1","D","3","2024"
"MIN","4.14","12","3.72","8","40","3","22","5","1.24","18","0.26","6","16","5","11.7","D","3","2024"
"NO","4.14","13","5.04","27","75","20","12","29","1.14","9","1.37","29","11","12","9.2","D","3","2024"
"KC","4.11","11","3.31","4","70","16","15","22","0.96","5","0.08","3","6","25","5.7","D","3","2024"
"SEA","4.00","10","4.31","17","57","10","19","14","1.32","23","0.90","23","11","10","9.9","D","3","2024"
"CLE","3.94","9","4.00","12","83","27","19","12","1.05","6","0.76","19","9","14","8.8","D","3","2024"
"JAX","3.76","8","3.83","9","73","19","23","4","1.15","12","0.73","17","5","28","4.7","D","3","2024"
"GB","3.75","7","5.00","26","50","5","15","23","1.47","27","1.43","30","11","8","10.4","D","3","2024"
"BUF","3.70","6","4.03","13","75","20","19","11","1.14","9","0.75","18","11","13","8.9","D","3","2024"
"TEN","3.55","5","3.67","6","50","5","30","1","1.12","8","0.61","15","7","11","9.4","D","3","2024"
"HOU","3.52","4","3.22","3","60","12","19","12","0.63","3","0.49","12","13","1","14.7","D","3","2024"
"BAL","3.35","3","2.60","1","100","29","16","21","0.33","1","0.00","1","10","17","8.2","D","3","2024"
"PIT","3.27","2","3.35","5","33","1","19","15","0.87","4","0.28","7","9","9","10.0","D","3","2024"
"DET","3.23","1","2.76","2","40","3","20","7","0.60","2","0.04","2","8","20","7.6","D","3","2024"