"TEAM","DVOA","RANK","WEIGHT","Rank","LAST","PASS","Rank","RUSH","Rank","NONADJ","NONADJP","NONADJR","VARIANCE","Rank","DEF SCHED","Rank","Week","Year"
"MIN","-34.5","1","-34.5","1","1","-35.2","1","-32.6","1","-20.7","-18.8","-25.7","2.8","12","6.6","6","4","2024"
"NO","-17.5","2","-17.5","2","5","-19.5","3","-13.3","8","-18.3","-21.2","-12.4","6.4","23","-1.9","19","4","2024"
"LAC","-16.3","3","-16.3","3","3","-19.9","2","-11.3","12","-19.3","-20.1","-18.1","7.8","27","-5.0","23","4","2024"
"SF","-14.1","4","-14.1","4","19","-14.3","5","-13.9","6","-11.6","-10.6","-12.9","9.0","29","-5.1","25","4","2024"
"DEN","-13.0","5","-13.0","5","13","-7.3","10","-21.1","5","-13.0","-7.2","-21.5","7.5","25","3.6","11","4","2024"
"HOU","-12.7","6","-12.7","6","7","-6.9","11","-21.2","4","-8.8","-0.9","-20.2","3.3","15","-5.0","24","4","2024"
"PIT","-11.5","7","-11.5","7","4","-2.4","14","-22.1","3","-5.6","3.8","-16.6","3.5","17","-5.2","26","4","2024"
"BAL","-10.5","9","-10.5","9","10","-9.5","7","-12.3","10","-4.7","0.3","-14.1","8.2","28","3.2","12","4","2024"
"SEA","-10.5","8","-10.5","8","2","-8.2","9","-13.4","7","-6.1","-6.0","-6.2","24.2","32","-14.1","32","4","2024"
"BUF","-10.2","10","-10.2","10","6","-10.0","6","-10.4","13","-13.1","-15.3","-10.5","4.3","20","-1.1","17","4","2024"
"TEN","-8.1","11","-8.1","11","17","-8.2","8","-7.9","16","-11.0","-9.7","-12.3","7.4","24","-11.2","30","4","2024"
"CHI","-6.7","12","-6.7","12","8","-18.6","4","5.8","30","-10.0","-23.6","4.3","1.2","3","-2.8","22","4","2024"
"TB","-6.0","13","-6.0","13","15","-5.7","13","-6.5","17","-3.2","-3.2","-3.1","2.2","9","6.5","7","4","2024"
"DET","-2.7","14","-2.7","14","9","-2.1","15","-4.2","19","4.3","8.6","-5.9","2.8","11","5.7","8","4","2024"
"KC","-2.5","15","-2.5","15","20","11.5","19","-22.9","2","8.2","21.5","-11.1","0.2","1","9.6","3","4","2024"
"NYJ","-1.9","16","-1.9","16","11","-6.5","12","2.9","27","-9.5","-17.6","-0.9","5.8","21","-10.1","29","4","2024"
"IND","0.3","17","0.3","17","16","9.6","18","-8.7","15","4.4","16.4","-7.0","3.7","19","-2.4","21","4","2024"
"ATL","1.5","18","1.5","18","22","6.8","17","-3.5","20","4.7","10.8","-1.1","1.5","5","7.4","5","4","2024"
"GB","1.6","19","1.6","19","12","11.8","20","-12.8","9","5.3","16.1","-9.9","2.2","8","0.2","16","4","2024"
"CLE","4.1","20","4.1","20","18","6.4","16","1.6","24","1.4","8.1","-6.3","0.9","2","-6.0","27","4","2024"
"NYG","5.7","21","5.7","21","14","17.1","24","-8.8","14","7.6","18.1","-5.5","3.6","18","-2.0","20","4","2024"
"CIN","7.9","22","7.9","22","24","17.6","26","-1.5","22","11.0","23.1","-0.6","3.1","14","-1.4","18","4","2024"
"MIA","8.1","23","8.1","23","30","15.0","22","2.3","26","9.2","16.8","2.8","2.3","10","3.9","9","4","2024"
"CAR","9.0","24","9.0","24","21","16.3","23","1.7","25","10.9","16.4","5.4","1.5","4","1.8","13","4","2024"
"LV","10.4","25","10.4","25","27","17.2","25","0.9","23","9.0","13.9","2.2","2.0","7","-8.7","28","4","2024"
"PHI","12.4","26","12.4","26","25","19.2","27","3.8","29","18.7","25.4","10.2","7.7","26","8.9","4","4","2024"
"DAL","12.7","27","12.7","27","28","12.3","21","13.0","32","12.2","8.9","15.2","21.9","31","0.3","15","4","2024"
"NE","14.0","28","14.0","28","26","27.3","28","-6.2","18","19.8","34.4","-2.3","3.3","16","12.1","2","4","2024"
"ARI","14.5","29","14.5","29","23","33.2","29","-1.9","21","19.0","37.2","3.1","15.7","30","14.0","1","4","2024"
"WAS","22.3","30","22.3","30","32","38.2","30","3.8","28","26.7","50.0","-0.3","6.3","22","3.9","10","4","2024"
"LA","22.7","31","22.7","31","31","39.0","31","8.3","31","24.0","42.2","8.1","1.8","6","1.3","14","4","2024"
"JAC","26.3","32","26.3","32","29","53.8","32","-12.2","11","24.4","50.2","-11.6","2.9","13","-13.2","31","4","2024"